date,region,population_total,population_male,population_female,births,deaths,net_migration,households_total,median_age,avg_household_size,median_income_dkk,employment_rate,unemployment_rate
2024-01-01,Region Hovedstaden,1915726,935673,980053,1929,1812,760,888019,41.86,2.16,376037.32,0.723,0.053
2024-01-01,Region Midtjylland,1008741,496450,512291,1125,1191,-28,460600,41.46,2.19,373723.4,0.738,0.058
2024-01-01,Region Nordjylland,827392,407003,420389,607,731,-300,375367,40.91,2.21,371771.29,0.728,0.062
2024-01-01,Region Sjælland,1263243,624193,639050,961,1089,965,574026,41.21,2.21,381439.16,0.741,0.057
2024-01-01,Region Syddanmark,1098680,542840,555840,1508,1297,-1010,510037,42.46,2.16,366857.78,0.715,0.052
2024-07-01,Region Hovedstaden,1933552,948329,985223,1615,1823,1233,877614,41.76,2.21,366488.98,0.729,0.055
2024-07-01,Region Midtjylland,1003178,491250,511928,1035,1197,-1046,458227,41.77,2.19,367793.97,0.723,0.056
2024-07-01,Region Nordjylland,828645,408588,420057,672,728,918,372523,41.15,2.23,382462.35,0.731,0.054
2024-07-01,Region Sjælland,1269477,618267,651210,1340,1137,831,588349,42.23,2.16,361829.52,0.722,0.062
2024-07-01,Region Syddanmark,1089411,532238,557173,1361,1463,-984,491873,41.76,2.22,358304.79,0.726,0.054
2025-01-01,Region Hovedstaden,1926871,944605,982266,2152,1917,-822,887568,42.51,2.18,363328.66,0.694,0.049
2025-01-01,Region Midtjylland,1009763,494872,514891,1262,1371,-117,468432,42.68,2.16,366847.72,0.711,0.055
2025-01-01,Region Nordjylland,822970,400486,422484,604,763,500,379645,42.49,2.17,366709.59,0.696,0.053
2025-01-01,Region Sjælland,1265963,626008,639955,1219,985,16,572514,42.16,2.22,365360.92,0.735,0.05
2025-01-01,Region Syddanmark,1088937,531796,557141,1403,1629,719,486916,41.95,2.24,372544.59,0.709,0.05
